pid,artist,location,label,_date,object_type,current_location,source
yel01,Adrianna Calvo,USA,Closeup Photo of Yellow Taxi,contemporary,vehicle,Pexels,https://images.pexels.com/photos/1053765/pexels-photo-1053765.jpeg
yel02,David Bartus,unknown,Selective-focus Photography of Yellow Petaled Flowers,contemporary,nature,Pexels,https://images.pexels.com/photos/403846/pexels-photo-403846.jpeg
yel05,Jill Burrow,USA,Bouquet of bright yellow chrysanthemums in glass vase casting shadow on wall in daylight,contemporary,still_life,Pexels,https://images.pexels.com/photos/5987200/pexels-photo-5987200.jpeg
yel06,Karolina Grabowska,Poland,Bee on a Sunflower,contemporary,nature,Pexels,https://images.pexels.com/photos/5478145/pexels-photo-5478145.jpeg
yel07,Laker,unknown,Full frame top view of clean yellow sand with ribbed stones chaotically spread around,contemporary,texture,Pexels,https://images.pexels.com/photos/6156544/pexels-photo-6156544.jpeg
yel08,Lukas Rychvalsky,unknown,Woman Wearing Gold Sleeveless Top on Tube Platform,contemporary,human,Pexels,https://images.pexels.com/photos/670791/pexels-photo-670791.jpeg
yel09,Natalie,unknown,From above of delicious piece of cheesecake with colorful gelatin on top on saucer with spoon,contemporary,food,Pexels,https://images.pexels.com/photos/5733500/pexels-photo-5733500.jpeg
yel11,Nubia Navarro,Colombia,Concrete Houses,contemporary,architecture,Pexels,https://images.pexels.com/photos/3221216/pexels-photo-3221216.jpeg
yel12,Pixabay,unknown,Yellow squashes and courgettes,contemporary,food,Pexels,https://images.pexels.com/photos/139394/zucchini-vegetables-yellow-vegetarian-139394.jpeg
yel13,Rotekirsche 20,unknown,Yellow wall with small window,contemporary,architecture,Pexels,https://images.pexels.com/photos/5438813/pexels-photo-5438813.jpeg
yel15,Shvets Anna,Russia,Yellow and Red Concrete Building,contemporary,architecture,Pexels,https://images.pexels.com/photos/2563700/pexels-photo-2563700.jpeg
